陈娜,chenna,工学硕士,,计算机组成与结构、企业级数据库基础DB2、计算机组成原理、数据库原理与应用、数据库技术与应用,青岛大学,数据科学与软件工程学院,软件工程系
陈宇,chenyu,工学博士,副教授,数据库原理、高级程序设计语言，Java面向对象程序设计、计算机操作系统、生物信息学算法等,青岛大学,数据科学与软件工程学院,软件工程系
仇培铭,qiupeiming,硕士,,数据库原理、Web程序设计、数据结构,青岛大学,数据科学与软件工程学院,软件工程系
崔树娟,cuishujuan,工学硕士,讲师,Java程序设计、C语言程序设计、Android应用开发等,青岛大学,数据科学与软件工程学院,软件工程系
高冬梅,gaodongmei,教育学硕士,副教授,c语言程序设计、面向对象程序设计、数据库原理与应用、SQL Server数据库程序设计、企业级数据库基础--DB2,青岛大学,数据科学与软件工程学院,软件工程系
胡志秋,huzhiqiu,工学硕士,讲师,java程序设计、Web程序设计、计算机网络、二维动画制作和虚拟现实技术,青岛大学,数据科学与软件工程学院,软件工程系
计晓斐,jixiaofei,工学硕士,讲师,操作系统、数据结构、Java企业级应用开发,青岛大学,数据科学与软件工程学院,软件工程系
解新峰,xiexinfeng,硕士,教师,Java程序设计、J2EE高级编程、数字媒体概论、计算机游戏程序设计、软件构造,青岛大学,数据科学与软件工程学院,软件工程系
金东,jindong,工学博士,讲师,数据结构、计算机组成原理、JAVA编程（双语）、数字逻辑、数据库原理和软件项目管理等,青岛大学,数据科学与软件工程学院,软件工程系
兰淑丽,lanshuli,工学硕士,,操作系统、数据库、面向对象程序设计、web程序设计、数据结构,青岛大学,数据科学与软件工程学院,软件工程系
李劲华,lijinhua,计算机科学博士,教授,担任本科生《编译原理》、《软件测试》、《Python程序设计基础》（双语） 和研究生《IT项目管理》（双语）、《软件测试理论与技术》（双语）、《软构件与软件体系结构》等课程的主讲工作。担任过《软件工程》、《Java程序设计基础》、《算法分析与设计》、《软件设计方法》、《形式语言与自动机》等课程,青岛大学,数据科学与软件工程学院,软件工程系
李晓娜,lixiaona,工学博士,讲师,担任本科生《数据结构》、《操作系统》等课程的主讲工作,青岛大学,数据科学与软件工程学院,软件工程系
刘虹,liuhong,工学硕士,讲师,计算机网络原理、数据处理技术、管理信息系统、VFP程序设计等,青岛大学,数据科学与软件工程学院,软件工程系
刘肃亮,liusuliang,工学硕士,讲师,高级程序设计语言、面向对象程序设计、数据库原理、离散数学和计算机科学导论等,青岛大学,数据科学与软件工程学院,软件工程系
刘征,liuzheng,理学学士,副教授,高级程序设计语言，C++面向对象程序设计、Java面向对象程序设计、C#面向对象程序设计、数据结构、编译原理等,青岛大学,数据科学与软件工程学院,软件工程系
曲翠璐,qucuilu,工学硕士,教师,web程序设计、计算机组成与结构、模式识别与图像处理,青岛大学,数据科学与软件工程学院,软件工程系
孙更新,sungengxin,理学博士,副教授,Java程序设计,青岛大学,数据科学与软件工程学院,软件工程系
万志波,wanzhibo,工学博士,讲师,操作系统、软件工程、软件构造等,青岛大学,数据科学与软件工程学院,软件工程系
王常颖,wangchangying,工学博士,副教授,担任本科生《离散数学》和《数据挖掘》等课程的主讲工作,青岛大学,数据科学与软件工程学院,软件工程系
王卓,wangzhuo,硕士,讲师,担任本科生高级语言程序设计、数据处理技术、管理信息系统等课程的主讲工作,青岛大学,数据科学与软件工程学院,软件工程系
魏长江,weichangjiang,理学博士,教授,担任本科生软件工程和研究生软件方法学、需求工程等课程的主讲工作,青岛大学,数据科学与软件工程学院,软件工程系
许凌羽,xulingyu,工学硕士,讲师,担任本科生二维图像处理、操作系统、音频处理相关课程教学工作,青岛大学,数据科学与软件工程学院,软件工程系
于忠清,yuzhongqing,博士,研究员,,青岛大学,数据科学与软件工程学院,软件工程系
张培俭,zhangpeijian,工学博士,,担任本科生Web程序设计和计算机网络原理等课程的主讲工作,青岛大学,数据科学与软件工程学院,软件工程系
张小垒,zhangxiaolei,工学博士,讲师,,青岛大学,数据科学与软件工程学院,软件工程系
张志梅,zhangzhimei,理学硕士,副教授,担任本科生数据结构、数据结构课程设计、面向对象程序设计、编译原理和研究生高级计算机系统结构、计算机网络原理、信息系统安全等课程的主讲工作,青岛大学,数据科学与软件工程学院,软件工程系
赵宁,zhaoning,工学硕士,教师,面向对象程序设计C++、Java程序设计、数据结构与算法分析,青岛大学,数据科学与软件工程学院,软件工程系
赵宪佳,zhaoxianjia,工学硕士,副教授,软件工程课程、软件过程管理课程、网络技术课程、信息系统、数据库原理,青岛大学,数据科学与软件工程学院,软件工程系
周强,zhouqiang,工学博士,副教授,担任本科生《高级程序设计语言》、《数据结构与算法基础（双语）》、《计算机操作系统原理（双语）》、《Web开发基础》、《Java企业级开发》和研究生《专业英语》、《信息检索》、《高级Web应用开发》等课程的主讲工作,青岛大学,数据科学与软件工程学院,软件工程系
周奕辛,zhouyixin,工学硕士,副教授,担任本科生《网络安全》、《信息系统安全与维护》、《数据库原理》和《数据库应用（Oracle）》等课程的主讲工作,青岛大学,数据科学与软件工程学院,软件工程系
邹岚,zoulan,工程硕士,副教授,数据结构、软件工程、Java语言程序设计、C语言程序设计,青岛大学,数据科学与软件工程学院,软件工程系
宾晟,binsheng,工学博士,副教授,数据挖掘、数据结构、Java程序设计、vb.net、c#、xml、J2EE、asp.net、ado.net等,青岛大学,数据科学与软件工程学院,数字媒体技术系
陈光,chenguang,工学博士,助理教授,,青岛大学,数据科学与软件工程学院,数字媒体技术系
陈天琳,chentianlin,理学学士,讲师,计算机文化基础、网页设计基础、PhotoShop cs6、Flash 动画制作、Vfp应用基础、商务信息技术等,青岛大学,数据科学与软件工程学院,数字媒体技术系
董岳杭,dongyuehang,工学硕士,讲师,数据结构，网络基础，面向对象编程，网络安全，C语言编程等,青岛大学,数据科学与软件工程学院,数字媒体技术系
杜娜,duna,工学硕士,讲师,担任本科生《面向对象程序设计》《计算机图形学》《3D游戏设计开发》等课程的主讲工作,青岛大学,数据科学与软件工程学院,数字媒体技术系
葛艳玲,geyanling,理学学士,副教授,网页设计、二维动画设计、摄影与摄像技术,青岛大学,数据科学与软件工程学院,数字媒体技术系
江永春,jiangyongchun,工学硕士,副教授,担任本科生《影视后期特效合成》、《数字音视频编辑技术》、《数字媒体概论》、《视听语言》、《分镜头设计》、《平面设计基础》等课程的主讲工作,青岛大学,数据科学与软件工程学院,数字媒体技术系
李晓兵,lixiaobing,硕士,教师,造型基础、设计基础、平面设计基础,青岛大学,数据科学与软件工程学院,数字媒体技术系
李奕,liyi,工学博士,讲师,数据库原理、离散数学、工程数学、软件工程、编译原理、操作系统、电子商务,青岛大学,数据科学与软件工程学院,数字媒体技术系
刘彤彦,liutongyan,理学硕士,讲师,web程序设计、三维造型及虚拟场景设计、三维动画设计、动画编程,青岛大学,数据科学与软件工程学院,数字媒体技术系
吕智涵,lvzhihan,工学博士,特聘教授,,青岛大学,数据科学与软件工程学院,数字媒体技术系
曲绍云,qushaoyun,工学硕士,讲师,担任本科生：《计算机图形学》、《数据结构》、《web程序设计》等课程,青岛大学,数据科学与软件工程学院,数字媒体技术系
孙宏仪,sunhongyi,艺术学硕士,讲师,艺术概论、视觉传达设计、设计基础等,青岛大学,数据科学与软件工程学院,数字媒体技术系
孙杰,sunjie,工学硕士,副教授,面向对象程序设计、数据结构等,青岛大学,数据科学与软件工程学院,数字媒体技术系
王娟娟,wangjuanjuan,文学硕士,教师,担任本科生《分镜头台本设计》、《数字媒体艺术概论》、《原动画设计》、《短片创作》等课程的主讲工作,青岛大学,数据科学与软件工程学院,数字媒体技术系
王萍萍,wangpingping,教育学学硕士,讲师,二维动画基础、视听语言、分镜头设计、动画原理与技法,青岛大学,数据科学与软件工程学院,数字媒体技术系
王寿苹,wangshouping,理学硕士,副教授,三维动画制作、数字媒体后期制作,青岛大学,数据科学与软件工程学院,数字媒体技术系
张树美,zhangshumei,理学博士,教授,担任本科生数据处理技术和数据库理论课程和研究生图形图像处理等课程的主讲工作,青岛大学,数据科学与软件工程学院,数字媒体技术系
赵凤芹,zhaofengqin,文学硕士,讲师,"造型基础、设计基础、3dmax三维动画基础、CAD,Coreldraw,PS,AI等",青岛大学,数据科学与软件工程学院,数字媒体技术系
赵海宇,zhaohaining,设计艺术学硕士,教师,造型基础课程、设计基础课程,青岛大学,数据科学与软件工程学院,数字媒体技术系
赵俊莉,zhaojunli,工学博士,副教授,虚拟现实技术、动画编程技术、二维动画基础、C语言程序设计等,青岛大学,数据科学与软件工程学院,数字媒体技术系
陈维梯,chenweiti,,副教授,《智能控制》、《LabVIEW》、《嵌入系统》、《计算机组成》、《微机原理》等,青岛大学,数据科学与软件工程学院,智能科学与技术系
崔海荣,cuihairong,工学硕士,副教授,电路、微机原理及应用、微机原理及接口技术、电子测量与仪器、电子技术专业英语,青岛大学,数据科学与软件工程学院,智能科学与技术系
盖绍婷,gaishaoting,工学博士,讲师,信号与系统、计算机网络、计算机操作系统、机器学习,青岛大学,数据科学与软件工程学院,智能科学与技术系
高鹏翔,gaopengxiang,工学硕士,教授,微机原理、计算机网络原理、程序设计语言、网络编程、Web编程、电子商务原理,青岛大学,数据科学与软件工程学院,智能科学与技术系
郭俊飞,guojunfei,工学博士,助理教授,,青岛大学,数据科学与软件工程学院,智能科学与技术系
何春华,hechunhua,工程硕士,副教授,C语言程序设计、面向对象程序设计、单片机原理与接口技术和嵌入式系统及应用等,青岛大学,数据科学与软件工程学院,智能科学与技术系
胡曼冬,humandong,工学博士,,智能机器人学、数据结构、模式识别及数字图像处理、机器视觉理论,青岛大学,数据科学与软件工程学院,智能科学与技术系
康丽娟,kanglijuan,工学硕士,讲师,模拟电子技术、数字电子技术、EDA技术、电子实训,青岛大学,数据科学与软件工程学院,智能科学与技术系
苗盛,miaosheng,理学博士,讲师,机器视觉理论、人工智能及其应用,青岛大学,数据科学与软件工程学院,智能科学与技术系
王美兴,wangxingmei,理学学士,副教授,电路、电气控制与PLC 实用多媒体技术课程教学,青岛大学,数据科学与软件工程学院,智能科学与技术系
王勇,wangyong,学士,副教授,计算机组成原理、微机原理、智能传感技术、计算机基础等,青岛大学,数据科学与软件工程学院,智能科学与技术系
杨熙鑫,yangxixin,工学博士,讲师,自动控制原理、人工智能、面向对象程序设计、数据结构与算法设计、脑与认知科学基础,青岛大学,数据科学与软件工程学院,智能科学与技术系
张卫华,zhangweihua,工学学士,副教授,计算机组成原理、汇编语言程序设计、计算机接口技术、C语言程序设计,青岛大学,数据科学与软件工程学院,智能科学与技术系
高雪霞,gaoxuexia,硕士,,计算机导论、VFP程序设计、C语言程序设计等,青岛大学,数据科学与软件工程学院,计算机基础教学系
李旭红,lixuhong,工学硕士,教师,计算机基础、数据处理技术、网页设计与制作、Visual FoxPro、C语言等,青岛大学,数据科学与软件工程学院,计算机基础教学系
刘强,liuqiang,工学学士,副教授,Visual FoxPro程序设计课程和大学计算机基础课程等,青岛大学,数据科学与软件工程学院,计算机基础教学系
毛爱英,maoaiying,管理学硕士,讲师,担任本科生《大学计算机基础》、《计算机操作技能》、《Visual Foxpro程序设计》、《电子商务物流管理》、《多媒体技术应用》等课程的主讲工作,青岛大学,数据科学与软件工程学院,计算机基础教学系
宋小英,songxiaoying,管理学硕士,讲师,担任本科生《管理信息系统》《电子商务概论》《计算机导论》《网页设计》《大学计算机基础》《VISUAL FOXPRO程序设计》等课程的主讲工作,青岛大学,数据科学与软件工程学院,计算机基础教学系
田更,tiangeng,硕士,副教授,WEB程序设计、C#程序设计和.NET Framework等,青岛大学,数据科学与软件工程学院,计算机基础教学系
吴海霞,wuhaixia,工学硕士,讲师,网页设计、 visual foxpro程序设计、visual basic程序设计、office综合应用、计算机网络基础、大学计算机基础等,青岛大学,数据科学与软件工程学院,计算机基础教学系
于凤英,yufengying,工学学士,讲师,计算机应用基础和网页设计与制作、商务信息技术等,青岛大学,数据科学与软件工程学院,计算机基础教学系
